week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
0000-00,0.0,0.0,0.0,0.0,12.0
2022-05,-0.03545689079571585,0.19638100691642082,-0.10941595578800134,0.7262547988646804,6.0
2022-07,0.02162737318855617,0.1718940792178157,1.496213738158297,2.8057310145214016,2.0
2022-08,-0.05905799918427994,1.0,-0.42194121364296366,1.0,1.0
2022-10,0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
2022-11,0.9677873793754047,1.0,-0.4812726998430956,1.0,1.0
2022-12,-0.09992009587217889,1.0,-0.48773768839519793,1.0,1.0
2022-13,0.7071067811865476,1.0,,1.0,1.0
2022-14,0.7153452263131825,0.65809753023768,1.075457491619766,1.5209265704044221,2.0
2022-15,-0.04942639536456036,0.1827070730385457,-0.5513759458492368,0.25232269550184533,2.0
2022-16,-0.4169092377901901,1.5865499645737362,-0.608766361640529,0.17116039113956882,2.0
2022-17,-0.3134366523047979,0.4337679876340404,-0.5266953665666828,0.05861282103443757,3.0
2022-18,0.2746331621430632,0.4841319003884197,-0.5399871298439534,0.16694213567419752,2.0
2022-19,0.9791682386466007,2.4000617892915392,-0.3619371771300263,1.0,2.0
2022-21,0.6199167167038627,1.3155385206526269,0.7322103651617761,1.4994793130127677,3.0
2022-23,0.867000731112525,0.3270792521683477,0.25699286985243075,1.841477353326257,2.0
2022-24,0.2732004218000557,1.0143327914350542,-0.682155913822896,0.08251337810897832,5.0
2022-25,0.06703978509871426,0.42749659189751193,-0.6249728257805988,0.1210676755288793,4.0
2022-26,-0.10941102687400156,0.9198414858753204,-0.371593194085344,0.3502855806005964,4.0
2022-27,-0.13990018201836182,1.016287167364665,-0.18593452905471383,0.9861456670728278,9.0
2022-28,0.4459068158123223,0.8217619501010005,-0.3774822729477048,0.6323418621254978,12.0
2022-29,-0.12498639743240948,0.9849924410073412,-0.36667946884784336,0.5666834257106775,13.0
2022-30,-0.7573900372331019,0.5434933987005444,0.2903409438294225,1.4896340473435974,3.0
2022-31,-0.34903242248557736,0.4712240462963463,0.11700150074414321,0.7158310913519519,10.0
2022-32,-0.4526458602565278,0.7747936129738778,0.10465222559205005,0.9685743352809404,6.0
2022-33,-0.14936399792048852,0.04281967523606557,0.21940996362227974,1.2501405499951181,3.0
2022-34,-0.017907954172738716,0.7960463665409907,0.1609587440274851,0.9219773217359554,8.0
2022-35,-0.6995699643813873,1.4331858830922082,-0.4514647748737656,0.1767068237912697,5.0
2022-36,-0.4745982949162033,0.5817664020948252,-0.26960333825864163,0.5946631291673505,6.0
2022-37,0.5908939238810639,1.253699767643184,0.16767635847123363,0.9173175520375706,3.0
2022-38,-0.4368781990253831,0.830657767269157,-0.31706369948555624,0.5559388417987344,12.0
2022-39,-0.25487393258327234,1.0448500381530743,0.13532618655110756,1.0667389548583943,93.0
2022-40,-0.05779607784537388,0.9561688325245857,0.09057662071109247,1.068815823226333,136.0
2022-41,0.07790885101950598,1.0741500117403606,-0.12155040091937214,0.9327612350813544,268.0
2022-42,0.0169392384974949,0.9691256203752991,0.03474455740654554,1.0078357359108845,405.0
2022-43,0.03732434089857364,0.9009034653461047,-0.03983025457050923,0.9630001276639301,439.0
2022-44,0.05370249289921229,0.9993927584271516,0.10479105625530874,1.1151774103066585,349.0
2022-45,0.03173893322816088,1.0390914598472663,0.08714770013831488,1.0519021700074607,392.0
2022-46,0.09301086555780577,1.0355737906212323,0.07356041382152537,1.0211713313235027,404.0
2022-47,0.05526952127704579,0.9913883610511061,0.13005507390049603,1.0686813780568531,373.0
2022-48,-0.12695611931653275,1.0608205997648474,-0.009789070962150825,0.9137392834472607,333.0
2022-49,-0.015390613055722075,0.9949646773333477,-0.03543384560047136,0.9356830100189006,296.0
2022-50,0.034570114190211367,1.015441284475224,0.06363287555436811,1.045897429338488,405.0
2022-51,0.09287826667925789,0.9980086967111752,0.02209335457065716,1.0528471918487343,286.0
2022-52,0.04292730254474234,1.1402790551278892,0.125191947412082,1.145872431179655,211.0
2023-00,-0.011877395277194724,0.5468535404055621,-0.1152693091112846,0.7216010728697904,14.0
2023-01,-0.011869278649157778,0.8975075606107201,0.09325510623911674,1.1131580672756627,180.0
2023-02,0.10087606276269716,0.9271025114627514,0.06592386393671383,1.1729302977025906,231.0
2023-03,0.07330376362873152,0.9146308746273264,-0.04509347519455601,0.8653163072860263,350.0
2023-04,0.04606041351432235,1.0502175545265608,0.016007437081347598,0.9698465706200988,290.0
2023-05,0.030378261772082808,1.0712009312742443,-0.0366928701464129,1.0686818823605433,325.0
2023-06,0.02992304009297642,0.8729091811139478,-0.11529694988006882,0.8313049034024964,215.0
2023-07,-0.05080257004810101,0.9350586874167307,-0.042389392479713205,0.8751231337506623,354.0
2023-08,-0.05281789476655847,0.9623369817877381,0.027012553407004987,1.0567771478259234,312.0
2023-09,0.013753341127403057,0.985373978518963,-0.03381985456839278,0.8863641639537123,309.0
2023-10,0.0021858405123696884,0.9894766948515068,0.10495441556073187,0.9919649501780865,201.0
2023-11,0.16804215066723086,1.0077918820424139,-0.1290365828296206,0.872036768886379,273.0
2023-12,0.06383574721902797,1.0345266058583014,-0.02422563429357704,1.0897319099009095,262.0
2023-13,-0.09709449257354245,0.9972637035592712,-0.044491144762925317,0.9929168332668683,282.0
2023-14,0.02095431221535604,0.9411089333108139,-0.07681555306483488,0.9234483261232826,255.0
2023-15,0.08654741403825196,0.9823159092498601,0.24162468091087325,1.3929619201154708,240.0
2023-16,-0.14472702508242943,0.9695665298206463,-0.025212834215791843,0.9557280778286759,247.0
