topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Angst,-0.048424526104452054,1.0109634335722326,0.0419493542057852,1.1149250172443521,955.0
Energie,0.08050405388771428,0.9955008895334956,0.11728652944767268,1.0867020557041212,3173.0
Krieg,-0.05298273793803025,0.9920389164058779,-0.10749833200174647,0.8699499664006485,6641.0
Wohlstand,0.1145714989598778,0.9736239382119185,0.24585606877713218,1.1858798304859663,1268.0
