index,url,valid,domain,title,description,image,published,archive,content,quote,language,keyword
https://www.tagesschau.de/ausland/europa/russland-extremismusgesetz-100.html,https://www.tagesschau.de/ausland/europa/russland-extremismusgesetz-100.html,0,www.tagesschau.de,Umstrittenes Extremismusgesetz tritt in Russland in Kraft,"In Russland ist die Internetsuche nach ""extremistischen Inhalten"" ab heute strafbar. Dazu gehören Recherchen zu LGBTQI, Beiträge zur Opposition oder das Abspielen bestimmter Musik. Die Meinungsfreiheit wird damit weiter eingeschränkt. Von Stefanie Markert.",https://images.tagesschau.de/image/c797ced1-03d7-4ed1-a8aa-2723cedc47bb/AAABmQAEKxc/AAABmKJZ-0g/16x9-big/duma-parlament-russland-100.jpg?width=1280,2025-09-01T03:15:13Z,,"Stand: 01.09.2025 05:15 Uhr
In Russland ist die Internetsuche nach ""extremistischen Inhalten"" ab heute strafbar. Dazu gehören Recherchen zu LGBTQI, Beiträge zur Opposition oder das Abspielen bestimm… [+3662 chars]",,de,'Russland'
https://www.zeit.de/politik/2025-08/hamas-gaza-israel-krieg-nachrichtenpodcast,https://www.zeit.de/politik/2025-08/hamas-gaza-israel-krieg-nachrichtenpodcast,0,www.zeit.de,Hamas: Was von der Hamas noch übrig ist,"In Gaza kämpft die Bevölkerung ums Überleben, während Israel den Krieg fortsetzt. Aber die Terrororganisation Hamas verschwindet nicht. Und: NRW vor den Kommunalwahlen",https://img.zeit.de/politik/2017-09/illu-podcast-news/wide__8ed8a6__1300x731,2025-09-01T03:58:13Z,,"Seit knapp zwei Jahren herrscht Krieg im Gazastreifen. Zehntausende Menschen sind gestorben. Fast zwei Millionen Menschen leiden weiterhin unter der extremen Hungersnot und versuchen, in dem kleinen … [+1653 chars]",,de,'Krieg'
https://www.autobild.de/artikel/dienstwagen-check-wer-zahlt-was---und-warum-28240627.html,https://www.autobild.de/artikel/dienstwagen-check-wer-zahlt-was---und-warum-28240627.html,0,www.autobild.de,Achtung! Kostenfalle Firmenwagen,Ein Firmenwagen bedeutet auch steuerliche Pflichten und laufende Kosten. Wie sich Geld sparen lässt.,https://i.auto-bild.de/ir_img/3/9/7/8/5/1/5/Achtung--Kostenfalle-Firmenwagen-2869-1800x1012-5b78d55aa5c44529.jpg?impolicy=og_images,2025-09-01T04:00:00Z,,Ein Firmenwagen ist für viele Angestellte ein echter Bonus aber zugleich auch ein steuerlich reguliertes Gesamtpaket. Was viele nicht wissen: Hinter dem schicken Dienstwagen stecken jede Menge Kosten… [+4797 chars],,de,'Geld sparen'
https://www.zeit.de/news/2025-09/01/spahn-und-miersch-ueberraschend-gemeinsam-in-der-ukraine,https://www.zeit.de/news/2025-09/01/spahn-und-miersch-ueberraschend-gemeinsam-in-der-ukraine,0,www.zeit.de,Krieg in der Ukraine: Spahn und Miersch überraschend gemeinsam in der Ukraine,Hier finden Sie Informationen zu dem Thema „Krieg in der Ukraine“. Lesen Sie jetzt „Spahn und Miersch überraschend gemeinsam in der Ukraine“.,https://img.zeit.de/news/2025-09/01/spahn-und-miersch-ueberraschend-gemeinsam-in-der-ukraine-image-group/wide__1300x731,2025-09-01T05:01:04Z,,"Die Vorsitzenden der beiden Koalitionsfraktionen, Jens Spahn (CDU/CSU) und Matthias Miersch (SPD), sind zu einem gemeinsamen Solidaritätsbesuch in der von Russland angegriffenen Ukraine eingetroffen.… [+220 chars]",,de,'Krieg'
https://www.faz.net/aktuell/politik/ukraine/ukraine-liveticker-ukraine-spahn-und-miersch-reisen-gemeinsam-in-die-ukraine-110172806.html,https://www.faz.net/aktuell/politik/ukraine/ukraine-liveticker-ukraine-spahn-und-miersch-reisen-gemeinsam-in-die-ukraine-110172806.html,0,www.faz.net,Krieg in der Ukraine: Spahn und Miersch reisen gemeinsam in die Ukraine,Fraktionsvorsitzende der Koalitionsparteien auf Solidaritätsbesuch +++ Ukraine: Haben Reihe von Angriffen auf der Krim durchgeführt +++ Merz glaubt nicht an baldigen Waffenstillstand +++ alle Neuigkeiten im Liveblog,https://media1.faz.net/ppmedia/w1200/aktuell/politik/1337085874/1.10664333/facebook_teaser/unionsfraktionschef-jens-spahn.jpg.webp,2025-09-01T05:19:44Z,,Der russische Präsident Wladimir Putin ist in China eingetroffen. Das berichtet die Staatsagentur TASS. Putin wird am Gipfel der Shanghaier Organisation für Zusammenarbeit in Tianjin teilnehmen. Ansc… [+525 chars],,de,'Ukraine'
https://www.tagesschau.de/newsticker/liveblog-ukraine-montag-526.html,https://www.tagesschau.de/newsticker/liveblog-ukraine-montag-526.html,0,www.tagesschau.de,Ukraine-Liveblog: ++ Spahn und Miersch zu Gesprächen in Ukraine ++,"Die Vorsitzenden der beiden Koalitionsfraktionen, Spahn und Miersch, besuchen überraschend die Ukraine. Laut EU-Kommissionspräsidentin von der Leyen arbeitet die EU an konkreten Plänen für die Entsendung multinationaler Truppen.",https://images.tagesschau.de/image/a92f01cf-8f9d-4d79-b8b7-f127e0132c0d/AAABmQO7UPM/AAABmKJZ-0g/16x9-big/miersch-spahn-ukraine-100.jpg?width=1280,2025-09-01T05:21:37Z,,"Stand: 01.09.2025 07:21 Uhr
Die Vorsitzenden der beiden Koalitionsfraktionen, Spahn und Miersch, besuchen überraschend die Ukraine. Laut EU-Kommissionspräsidentin von der Leyen arbeitet die EU an ko… [+1782 chars]",,de,'Ukraine'
https://www.n-tv.de/politik/Soeder-ruft-nach-harten-Reformen-im-Sozialbereich-article26000791.html,https://www.n-tv.de/politik/Soeder-ruft-nach-harten-Reformen-im-Sozialbereich-article26000791.html,0,www.n-tv.de,"Mehr Arbeit, weniger Ansprüche: Söder ruft nach ""harten Reformen"" im Sozialbereich","Seit Monaten tobt eine Debatte über die Kosten für die sozialen Sicherungssysteme. Die schwarz-rote Bundesregierung möchte mit einer Reform Geld sparen. Wie soll diese aussehen? Offen. Für CSU-Chef Söder ist dennoch klar: ""Das Bürgergeld muss komplett geänder…",https://www.n-tv.de/img/incoming/crop26000813/9881323383-cImg_16_9-w1200/542996603.jpg,2025-09-01T05:42:36Z,,Seit Monaten tobt eine Debatte über die Kosten für die sozialen Sicherungssysteme. Die schwarz-rote Bundesregierung möchte mit einer Reform Geld sparen. Wie soll diese aussehen? Offen. Für CSU-Chef S… [+3032 chars],,de,'Geld sparen'
https://www.zeit.de/politik/ausland/2025-08/ukrainische-gefangene-russland-haft-gewalt-folter,https://www.zeit.de/politik/ausland/2025-08/ukrainische-gefangene-russland-haft-gewalt-folter,0,www.zeit.de,"Ukrainische Gefangene: Nach Russland verschleppt, ohne Aussicht auf Freiheit",Russland hält Tausende ukrainische Zivilisten gefangen – und bricht damit das Völkerrecht. Einer von ihnen ist Damian Omeljanenko. Seine Mutter kämpft für ihn.,https://img.zeit.de/politik/ausland/2025-08/ukrainische-gefangene-russland-haft-gewalt-folter-bild/wide__1300x731,2025-09-01T06:10:42Z,,"Schließen
Artikelzusammenfassung
Ukrainische Zivilisten in russischer Gefangenschaft: Tetjana Omeljanenkos Kampf um ihren Sohn Damian, der unter fragwürdigen Anschuldigungen vor Gericht steht, ist … [+728 chars]",,de,'Russland'
https://www.zeit.de/politik/ausland/2025-09/miersch-spahn-ukraine-kyjiw-union-spd-koalition,https://www.zeit.de/politik/ausland/2025-09/miersch-spahn-ukraine-kyjiw-union-spd-koalition,0,www.zeit.de,Krieg in der Ukraine: Spahn und Miersch besuchen gemeinsam die Ukraine,Als Zeichen der weiteren Unterstützung für die Ukraine sind die Fraktionsspitzen von Union und SPD nach Kyjiw gereist. Sie wollen Einigkeit bei Schwarz-Rot demonstrieren.,https://img.zeit.de/politik/2025-09/miersch-spahn-ukraine-kyjiw-union-spd-koalition-bild/wide__1300x731,2025-09-01T07:40:23Z,,"Die Vorsitzenden der beiden Koalitionsfraktionen, Jens Spahn (CDU/CSU) und Matthias Miersch
 (SPD), sind zu einem gemeinsamen Solidaritätsbesuch in der Ukraine eingetroffen. In der ukrainischen Haup… [+2950 chars]",,de,'Krieg'
https://www.welt.de/politik/ausland/video68b55f45cf33b514cb80dda3/afghanen-flugzeug-sie-fluechten-nicht-vor-dem-regime-sie-fluechten-vor-der-armut.html,https://www.welt.de/politik/ausland/video68b55f45cf33b514cb80dda3/afghanen-flugzeug-sie-fluechten-nicht-vor-dem-regime-sie-fluechten-vor-der-armut.html,0,www.welt.de,"„Sie flüchten nicht vor dem Regime, sie flüchten vor der Armut“","Ein weiterer Flug mit Afghanen aus Pakistan landet in Hannover. Die meisten Passagiere sind keine Ortskräfte, sondern Angehörige. Zudem „gibt es keinen belegten Fall, dass ehemalige Ortskräfte umgebracht oder ins Gefängnis gesteckt wurden“, sagt Afghanistan-E…",https://images.welt.de/68b55f45cf33b514cb80dda3/f38d80ad5d0e6678d7540bc5964a6b8e-master/ci16x9-w1200/symbolbild-abschiebung,2025-09-01T09:15:59Z,,"Ein weiterer Flug mit Afghanen aus Pakistan landet in Hannover. Die meisten Passagiere sind keine Ortskräfte, sondern Angehörige. Zudem gibt es keinen belegten Fall, dass ehemalige Ortskräfte umgebra… [+142 chars]",,de,'Armut'
