day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
000-00-00,0.0,0.0,0.0,0.0,12.0
2022-01-31,0.07503995206391056,0.24743087266466451,-0.24386884419759897,0.3448826269044957,2.0
2022-02-01,0.14317484224929122,1.0,-0.3619371771300263,1.0,1.0
2022-02-02,-0.2699690437534703,1.0,-0.6806872264047406,1.0,1.0
2022-02-03,-0.17861980568086183,1.0,1.300775605281658,1.0,1.0
2022-02-06,-0.07049826551453739,1.0,-0.4144895805705098,1.0,1.0
2022-02-14,-0.09992009587217889,1.0,-0.48773768839519793,1.0,1.0
2022-02-16,0.14317484224929122,1.0,3.4801651647117917,1.0,1.0
2022-02-22,-0.07049826551453739,1.0,-0.4144895805705098,1.0,1.0
2022-03-09,0.7071067811865475,1.0,-0.7071067811865476,1.0,1.0
2022-03-17,0.9858168560598773,1.0,-0.45771609132835117,1.0,1.0
2022-03-23,-0.09992009587217889,1.0,-0.48773768839519793,1.0,1.0
2022-03-30,0.7071067811865476,1.0,,1.0,1.0
2022-04-04,1.1939923289179846,1.0,2.168286821255526,1.0,1.0
2022-04-06,0.25,1.0,0.0,1.0,1.0
2022-04-13,0.09466353463049756,1.0,-0.3712035046944099,1.0,1.0
2022-04-17,-0.17861980568086183,1.0,-0.7297950348858601,1.0,1.0
2022-04-19,-1.5387694764315558,1.0,-0.48773768839519793,1.0,1.0
2022-04-23,0.7049510008511756,1.0,-0.7297950348858601,1.0,1.0
2022-04-28,-0.07850934454859067,1.0,-0.5259563354409309,1.0,1.0
2022-04-30,-0.42986382052379035,0.5478277387907923,-0.52476442434167,0.0878413968128971,2.0
2022-05-05,0.2699176514839939,0.477463161260849,-0.5362613133077265,0.17221123595064372,2.0
2022-05-11,0.9938745822731938,2.3792638786818925,-0.3619371771300263,1.0,2.0
2022-05-25,1.019184977896225,1.5826535730438198,1.463213065185594,1.136083947450104,2.0
2022-05-26,-0.17861980568086183,1.0,-0.7297950348858601,1.0,1.0
2022-06-09,1.0982806883061884,1.0,-1.0451282540860214,1.0,1.0
2022-06-10,0.6357207739188615,1.0,1.559113993790883,1.0,1.0
2022-06-13,-0.6885190405749794,1.0,,1.0,1.0
2022-06-17,0.45966094532575613,1.1921472153395414,-0.6583363532914139,0.10105783666016625,3.0
2022-06-19,0.7049510008511756,1.0,-0.7297950348858601,1.0,1.0
2022-06-21,-0.17705840949046414,0.0022081476686981066,-0.6160173943442859,0.16090588234870504,2.0
2022-06-24,0.31322082815129243,0.5539901230229294,-0.6278756851633955,0.144135726645756,2.0
2022-06-28,-0.09992009587217889,1.0,-0.48773768839519793,1.0,1.0
2022-06-30,-0.17861980568086183,1.0,-0.7297950348858601,1.0,1.0
2022-07-01,1.0315111052915706,1.0,0.12768880711604852,1.0,1.0
2022-07-03,-1.1878867253715706,1.0,-0.3712035046944099,1.0,1.0
2022-07-04,-0.9856030147108714,0.39385315051992353,-0.3619371771300263,1.0,2.0
2022-07-06,0.7049510008511756,1.0,-0.7297950348858601,1.0,1.0
2022-07-07,-0.17861980568086183,1.0,-0.7297950348858601,1.0,1.0
2022-07-08,-0.042491111502728496,1.0,-0.5868776716969679,1.0,1.0
2022-07-09,-0.6088685756640166,0.6084636457045197,0.7681776765800918,2.1184533246199484,2.0
2022-07-10,0.7158454212846824,1.9243827182979805,-0.2751233539856075,0.12277328609229642,2.0
2022-07-12,0.1195083212313201,0.421616840404095,-0.7052411306453004,0.034724464386209894,2.0
2022-07-13,0.7481997349332585,0.6465585652958687,-0.5656505563213365,0.18828776473451045,5.0
2022-07-14,-0.5219309011592077,0.9406015627405389,-0.4165564026025337,0.07724324942953399,2.0
2022-07-15,0.26828582986708405,0.2985307402848317,0.5199151476112975,1.4790856358317241,2.0
2022-07-17,1.8487418116976262,1.0,-0.4626511769863721,1.0,1.0
2022-07-18,-0.1261983236148844,0.8215286191950815,-0.919145030018058,1.0,2.0
2022-07-19,1.076699845897499,0.5257322584610448,-0.026548275596850246,0.9945411046814451,2.0
2022-07-20,1.5288244107485287,1.0,-0.4626511769863721,1.0,1.0
2022-07-21,-0.7352994763286939,0.018713079312410417,-0.4306566150864938,0.02286363947585852,2.0
2022-07-22,-0.031358004592188904,1.0412981815954512,-0.7297950348858601,0.0,2.0
2022-07-23,-1.0996560381554608,1.0,-0.4144895805705098,1.0,1.0
2022-07-24,-0.839222797936222,0.6018482521146039,-0.04684296334522368,0.8836866761568315,3.0
2022-07-25,-0.6815001926757888,0.7340527345188695,0.8173665472809638,1.7421076428999591,2.0
2022-07-31,-0.9584182807759932,1.0,-0.6958257077481184,1.0,1.0
2022-08-01,-0.5822419179012732,0.4288383891558519,-0.5458661060079432,0.2601147857319065,2.0
2022-08-02,-0.278600288570616,0.3940003065776231,0.2113308601853117,0.2988669686220401,2.0
2022-08-03,-0.17861980568086183,1.0,-0.7297950348858601,1.0,1.0
2022-08-04,-0.17861980568086183,1.0,0.6239187252258184,1.0,1.0
2022-08-05,0.17420421263221567,0.49896851182932744,1.0023308672826303,0.1522675116391946,2.0
2022-08-06,-1.1574112193827497,1.0,-0.6958257077481184,1.0,1.0
2022-08-07,-0.5924169617991817,1.0,0.6445926256855644,1.0,1.0
2022-08-10,-0.5194309428619599,0.7853233730595504,0.4361702415690303,1.3606524539270892,2.0
2022-08-11,-0.4154312150168136,1.498725758240849,0.47992643440442706,1.1905749371004188,2.0
2022-08-14,-0.4365219611220603,0.38760119696941026,-0.5792384423672452,0.16487929190162204,2.0
