,phrase,label,sentiment,subjectivity,language,count
Leopard-Kampfpanzern,Leopard-Kampfpanzern,MISC,,,de,17
Bachmut,Bachmut,MISC,0.0011312217194570137,0.0011312217194570137,de,17
Gasheizung,Gasheizung,MISC,,,de,17
österreichischen,österreichischen,MISC,,,de,17
Russland-Politik,Russland-Politik,MISC,,,de,17
WM,WM,MISC,,,de,17
Nord Stream 2,Nord Stream 2,MISC,-0.23124999999999998,0.375,de,17
Kämpfe im Sudan,Kämpfe im Sudan,MISC,,,de,17
Ein Jahr,Ein Jahr,MISC,,,de,17
Britische,Britische,MISC,,,de,16
österreichische,österreichische,MISC,,,de,16
Russische Truppen,Russische Truppen,MISC,2.0999999999999996,0.0,de,16
WEB.DE News,WEB.DE News,MISC,-0.4625,0.75,de,16
Der Krieg,Der Krieg,MISC,,,de,16
Pelletspreise,Pelletspreise,MISC,,,de,16
belarussische,belarussische,MISC,,,de,16
Ukraine-Überblick,Ukraine-Überblick,MISC,-0.05652173913043478,0.043478260869565216,de,16
Wärmepumpen,Wärmepumpen,MISC,,,de,16
Telegram,Telegram,MISC,,,de,15
Leitzins,Leitzins,MISC,,,de,15
Krieg Russlands gegen die,Krieg Russlands gegen die,MISC,,,de,15
Weltklimakonferenz,Weltklimakonferenz,MISC,,,de,15
MiG-29,MiG-29,MISC,,,de,14
Wall Street Journal,Wall Street Journal,MISC,,,de,14
Republikaner,Republikaner,MISC,,,de,14
KOMMENTAR,KOMMENTAR,MISC,,,de,14
schwedischen,schwedischen,MISC,,,de,14
COP27,COP27,MISC,,,de,13
Aktuelle News,Aktuelle News,MISC,,,de,13
KommentareTeilen,KommentareTeilen,MISC,,,de,13
Handelsblatt,Handelsblatt,MISC,,,de,13
Ausgerechnet,Ausgerechnet,MISC,,,de,13
sächsische,sächsische,MISC,,,de,13
Gaspreis,Gaspreis,MISC,1.0,1.0,de,13
belarussischen,belarussischen,MISC,,,de,13
deutsches,deutsches,MISC,,,de,13
Ukrainekriegs,Ukrainekriegs,MISC,,,de,13
türkischen,türkischen,MISC,,,de,13
polnischen,polnischen,MISC,,,de,13
Putins Krieg,Putins Krieg,MISC,,,de,13
Krieges gegen die Ukraine,Krieges gegen die Ukraine,MISC,,,de,12
Kamikaze-Drohnen,Kamikaze-Drohnen,MISC,,,de,12
schwedische,schwedische,MISC,,,de,12
Ostern,Ostern,MISC,,,de,12
deutsch-französische,deutsch-französische,MISC,,,de,12
Jahr Krieg,Jahr Krieg,MISC,,,de,12
Süddeutsche Zeitung,Süddeutsche Zeitung,MISC,,,de,12
Abwehrschirm,Abwehrschirm,MISC,2.0,0.0,de,12
Kalten Krieg,Kalten Krieg,MISC,,,de,12
bayerischen,bayerischen,MISC,,,de,11
ukrainischem,ukrainischem,MISC,,,de,11
Fußball-WM,Fußball-WM,MISC,,,de,11
IMAGO,IMAGO,MISC,0.0,0.0,de,11
Krieges in der Ukraine,Krieges in der Ukraine,MISC,,,de,11
Tag des Sieges,Tag des Sieges,MISC,,,de,11
Schlacht um Bachmut,Schlacht um Bachmut,MISC,,,de,11
ZDFheute,ZDFheute,MISC,,,de,11
Nord Stream,Nord Stream,MISC,0.18333333333333332,0.0,de,11
ukrainisches,ukrainisches,MISC,,,de,11
russischen Angriffskrieg in der Ukraine,russischen Angriffskrieg in der Ukraine,MISC,,,de,11
Gaskonflikt,Gaskonflikt,MISC,,,de,11
israelische,israelische,MISC,,,de,11
Erdgas,Erdgas,MISC,1.4,4.0,de,11
japanische,japanische,MISC,,,de,10
Corona-Krise,Corona-Krise,MISC,,,de,10
Google News,Google News,MISC,,,de,10
Millionen,Millionen,MISC,,,de,10
russischen Invasion,russischen Invasion,MISC,,,de,10
Schlacht von Stalingrad,Schlacht von Stalingrad,MISC,,,de,10
japanischen,japanischen,MISC,,,de,10
Ostermärsche,Ostermärsche,MISC,,,de,10
Hyperschallraketen,Hyperschallraketen,MISC,,,de,10
News des Tages,News des Tages,MISC,,,de,10
Karlsruhe,Karlsruhe,MISC,,,de,10
Der ukrainische,Der ukrainische,MISC,,,de,10
italienische,italienische,MISC,,,de,10
iranischer,iranischer,MISC,,,de,9
Russische Raketenangriffe,Russische Raketenangriffe,MISC,,,de,9
Der Winter,Der Winter,MISC,,,de,9
arabischen,arabischen,MISC,,,de,9
Stalingrad,Stalingrad,MISC,-0.27,0.1,de,9
russischen Angriffs auf die Ukraine,russischen Angriffs auf die Ukraine,MISC,,,de,9
BILD,BILD,MISC,,,de,9
niederländisches,niederländisches,MISC,,,de,9
US-amerikanische,US-amerikanische,MISC,,,de,9
russischen Angriffskriegs,russischen Angriffskriegs,MISC,,,de,9
Russe,Russe,MISC,,,de,9
Das Jahr 2022,Das Jahr 2022,MISC,,,de,9
GASTKOMMENTAR,GASTKOMMENTAR,MISC,,,de,9
in­nen,in­nen,MISC,,,de,9
FOCUS-online-Redakteurin,FOCUS-online-Redakteurin,MISC,,,de,9
russische Militär,russische Militär,MISC,,,de,9
Leopard-Kampfpanzer,Leopard-Kampfpanzer,MISC,,,de,9
Kriegsfolgen,Kriegsfolgen,MISC,,,de,9
RT DE,RT DE,MISC,,,de,9
niederländische,niederländische,MISC,,,de,9
Die Zeit,Die Zeit,MISC,,,de,9
I,I,MISC,,,de,9
Ölembargo,Ölembargo,MISC,1.5,0.5,de,9
russische Krieg,russische Krieg,MISC,,,de,9
russischen Krieges,russischen Krieges,MISC,,,de,9
Russische Angriffe,Russische Angriffe,MISC,,,de,9
Corona,Corona,MISC,0.0,0.2,de,9
Schlacht,Schlacht,MISC,,,de,8
Bürger,Bürger,MISC,,,de,8
Offshore-Windkraft,Offshore-Windkraft,MISC,,,de,8
Berlinale,Berlinale,MISC,,,de,8
spanische,spanische,MISC,,,de,8
Invasion der Ukraine,Invasion der Ukraine,MISC,,,de,8
nächsten Jahr,nächsten Jahr,MISC,,,de,8
Lagarde,Lagarde,MISC,,,de,8
russischen Angriffs,russischen Angriffs,MISC,,,de,8
norwegischen,norwegischen,MISC,,,de,8
​+++,​+++,MISC,,,de,8
ägyptischen,ägyptischen,MISC,,,de,8
europäischer,europäischer,MISC,,,de,8
Kriegsende,Kriegsende,MISC,,,de,8
Angriffskrieges,Angriffskrieges,MISC,,,de,8
sudanesischen,sudanesischen,MISC,,,de,8
Stromsparen,Stromsparen,MISC,,,de,8
Militärparade,Militärparade,MISC,,,de,8
Wagner-Söldner,Wagner-Söldner,MISC,-0.012500000000000002,0.0,de,8
russische Invasion in der Ukraine,russische Invasion in der Ukraine,MISC,,,de,8
sowjetische,sowjetische,MISC,,,de,8
ZEIT,ZEIT,MISC,,,de,8
niederländ,niederländ,MISC,,,de,8
Wirtschaftsminister,Wirtschaftsminister,MISC,,,de,8
neuen Jahr,neuen Jahr,MISC,,,de,8
G7-Außenminister,G7-Außenminister,MISC,,,de,8
sowjetischen,sowjetischen,MISC,,,de,8
E-Control,E-Control,MISC,,,de,8
tschechische,tschechische,MISC,,,de,8
chinesischer,chinesischer,MISC,,,de,8
ChatGPT,ChatGPT,MISC,,,de,7
russischen Krieg,russischen Krieg,MISC,,,de,7
Berliner Morgenpost,Berliner Morgenpost,MISC,,,de-DE,7
Anschluss,Anschluss,MISC,,,de,7
Windkraft-Gipfel,Windkraft-Gipfel,MISC,0.0,2.0,de,7
Getreideabkommens,Getreideabkommens,MISC,-0.1625,0.0,de,7
norwegische,norwegische,MISC,,,de,7
Solar,Solar,MISC,,,de,7
deutsch-russischen,deutsch-russischen,MISC,,,de,7
G7-Treffen,G7-Treffen,MISC,,,de,7
Bundeshaushalt,Bundeshaushalt,MISC,,,de,7
Star Wars,Star Wars,MISC,,,de,7
russischen Militär,russischen Militär,MISC,,,de,7
F.A.Z.-Serie,F.A.Z.-Serie,MISC,,,de,7
Angriff Russlands,Angriff Russlands,MISC,,,de,7
moldauische,moldauische,MISC,,,de,7
SZ am Abend,SZ am Abend,MISC,,,de,7
Reich,Reich,MISC,3.85,1.5,de,7
Gas-Pipelines Nord Stream 1,Gas-Pipelines Nord Stream 1,MISC,,,de,7
Atomkrieg,Atomkrieg,MISC,,,de,7
Verbündeten,Verbündeten,MISC,,,de,7
iPhone,iPhone,MISC,,,de,7
Der Krieg in der Ukraine,Der Krieg in der Ukraine,MISC,,,de-DE,7
Deutsches,Deutsches,MISC,,,de,7
Preis für europäisches Erdgas,Preis für europäisches Erdgas,MISC,,,de,7
Gas-Krise,Gas-Krise,MISC,,,en,7
